isbn|title|pages|cover|synopsis|publishDate|publisher|price|author|language|rating|totalReviews|categorySlug
B00D9GY2BU|Spilled Milk: Based On A True Story|296|https://m.media-amazon.com/images/I/41yv3GD0f9L.jpg|Randis later would testify at a criminal trial against her father who was sentenced to prison for his crimes of child abuse He was sentenced to up to 16 years in 2004 Her painful and ultimately triumphant story is recounted in Randis first novel Spilled Milk Stacy Brown Pocono Record Newspaper I read this book in two days I couldnt put it down Chelsea Deboer Teen Mom 2 Kelly Randis will use her firsthand experience as a sexual assault survivor to educate national leaders at the Pentagon LT Ashley Valanzola Pentagon Sexual Assault Prevention Coordinator The honest raw openness of your writing style is compelling Your story touched me deeply Juliet Pritner Actress Law And Order SVU Brooke Nolan is a battered child who makes an anonymous phone call about the escalating brutality in her home When social services jeopardize her safety condemning her to keep her fathers secret its a glass of spilled milk at the dinner table that forces her to speak about the cruelty shes been hiding In her pursuit of safety and justice Brooke battles a broken court system that pushes to keep her father in the home Spilled Milk is a novel of shocking narrative triumph and resiliency|Wed Jan 01 2020 00:00:00 GMT-0500 (Peru Standard Time)|Unknown Publisher|14.1|K.L. Randis|English|4.7|47290|politics
B0BSKW45KB|The Coming Wave: Technology, Power, and the Twenty-first Century's Greatest Dilemma|250|https://m.media-amazon.com/images/I/511NbfwUAZL.jpg|An urgent warning of the unprecedented risks that AI and other fastdeveloping technologies pose to global order and how we might contain them while we have the chancefrom a cofounder of the pioneering artificial intelligence company DeepMind A fascinating wellwritten and important bookYuval Noah Harari Essential readingDaniel Kahneman An excellent guide for navigating unprecedented timesBill Gates Longlisted for the Financial Times and Schroders Business Book of the Year Award One of Kirkus Reviews Most Anticipated Books of the Fall We are approaching a critical threshold in the history of our species Everything is about to change Soon you will live surrounded by AIs They will organise your life operate your business and run core government services You will live in a world of DNA printers and quantum computers engineered pathogens and autonomous weapons robot assistants and abundant energy None of us are prepared As cofounder of the pioneering AI company DeepMind part of Google Mustafa Suleyman has been at the centre of this revolution The coming decade he argues will be defined by this wave of powerful fastproliferating new technologies In The Coming Wave Suleyman shows how these forces will create immense prosperity but also threaten the nationstate the foundation of global order As our fragile governments sleepwalk into disaster we face an existential dilemma unprecedented harms on one side the threat of overbearing surveillance on the other Can we forge a narrow path between catastrophe and dystopia This groundbreaking book from the ultimate AI insider establishes the containment problemthe task of maintaining control over powerful technologiesas the essential challenge of our age|Wed Jan 01 2020 00:00:00 GMT-0500 (Peru Standard Time)|Crown|14.1|Mustafa Suleyman|English|3|0|politics
B0BHTNV8HN|The Fourth Turning Is Here: What the Seasons of History Tell Us about How and When This Crisis Will End|587|https://m.media-amazon.com/images/I/41l9H5kBY8L.jpg|The visionary behind the bestselling phenomenon The Fourth Turning looks once again to Americas past to predict our future in this startling and hopeful prophecy for how our present era of civil unrest will resolve over the next ten yearsand what our lives will look like once it has Twentyfive years ago Neil Howe and the late William Strauss dazzled the world with a provocative new theory of American history Looking back at the last 500 years theyd uncovered a distinct pattern modern history moves in cycles each one lasting roughly eighty to one hundred years the length of a long human life with each cycle composed of four erasor turningsthat always arrive in the same order and each last about twenty years The last of these erasthe fourth turningwas always the most perilous a period of civic upheaval and national mobilization as traumatic and transformative as the New Deal and World War II the Civil War or the American Revolution Now right on schedule our own fourth turning has arrived And so Neil Howe has returned with an extraordinary new prediction What we see all around usthe polarization the growing threat of civil conflict and global warwill culminate by the early 2030s in a climax that poses great danger and yet also holds great promise perhaps even bringing on Americas next golden age Every generation alive today will play a vital role in determining how this crisis is resolved for good or ill Illuminating sobering yet ultimately empowering The Fourth Turning Is Here takes you back into history and deep into the collective personality of each living generation to make sense of our current crisis explore how all of us will be differently affected by the political social and economic challenges well face in the decade to come and reveal how our country our communities and our families can best prepare to meet these challenges headon|Wed Jan 01 2020 00:00:00 GMT-0500 (Peru Standard Time)|Simon Schuster|9.9|Neil Howe|English|3.9|126|politics
B0CFR8YLXM|Uncuffed Voices: Her Story Is My Story|250|https://m.media-amazon.com/images/I/41b6bz1DacL.jpg|Uncuffed Voices is an empowering collection of stories from women in law enforcement These women have seen and experienced it all from grueling physical demands to emotional traumas and yet they remain resilient in their pursuit of service and protection In this book these women candidly share their stories hopes and fears in the hope of inspiring others Featuring CoAuthors Antoinette Anderson Leslie Clark Colette Cunningham Locita C Dixon Dominique Hajra Johnson Sherrie L Johnson Tabatha Knight LaShaun Lockerman Kia M Mitchell Ucrania PaniaguaSantana Ebonie Pritchett Abigail Raymond Angelica M Robinson MBA Jannique Spriggs Camille Stewart Kirtriya Thomas Linda Toney Derrica Wilson|Wed Jan 01 2020 00:00:00 GMT-0500 (Peru Standard Time)|Unknown Publisher|8.9|Chanel Dickerson|English|5|6|politics
B09RX43F5F|Giuliani: The Rise and Tragic Fall of America's Mayor|476|https://m.media-amazon.com/images/I/41XG4Tq5VPL.jpg|A New Yorker Best Book of the Year What happened to Rudy Giuliani Andrew Kirtzman who has been following Giuliani since the 1990s answers that question in this masterful and engrossing The Guardian biography that cuts through the myth and caricature that has too often defined Giuliani Los Angeles Times Rudy Giuliani was hailed after 911 as Americas Mayor a national hero who at the time was more widely admired than the pope He was brilliant accomplishedand complicated He conflated politics with morality made reckless personal choices and engaged in selfdestructive behavior A series of disastrous decisions and cynical compromises coupled with his need for power money and attention gradually ruined his reputation cost him political support and ultimately damaged the country Kirtzman who was with Giuliani at the World Trade Center on 911 conducted hundreds of interviews to give us an insightful portrait of this polarizing figure from the beginning of his rise to his highprofile role as Donald Trumps personal lawyer Giuliani was a celebrated prosecutor a transformative New York City mayor and a contender for the presidency But by the end of the Trump presidency he was reviled and ridiculed after a series of embarrassing errors and misjudgments He was a significant figure in both of Trumps impeachments and ended up widely ostracized facing both legal jeopardy and financial ruin This is the lively new biography The New Yorker of how it all began and how it came crashing down|Wed Jan 01 2020 00:00:00 GMT-0500 (Peru Standard Time)|Simon Schuster|11.1|Andrew Kirtzman|English|4.4|252|politics
B08GYBZNMR|The Menopause Manifesto: Own Your Health with Facts and Feminism|385|https://m.media-amazon.com/images/I/411i4HxSxAL.jpg|An Instant New York Times Washington Post USA Today San Francisco Chronicle and Publishers Weekly Bestseller A Next Avenue Influencer in Aging 2021 1 Canadian Bestseller Just as she did in her groundbreaking bestseller The Vagina Bible Dr Jen Gunter the internets most fearless advocate for womens health brings you empowerment through knowledge by countering stubborn myths and misunderstandings about menopause with hard facts real science fascinating historical perspective and expert advice I feel more equipped to care for my patients challenge the patriarchy and empower educate thanks to her work and advocacy Dr Danielle Jones Mama Doctor Jones An exhilarating read and a comprehensive review of all things menopause North American Menopause Society Gynecologist Gunter The Vagina Bible helps women navigate the ins and outs of menopause in this delightfully conversational and strongly feminist guide Readers looking to separate menopausal fact from fiction should take note Publishers Weekly Gunter mixes sound medical information with a bit of humor and a lot of candorthis frank and expert guide provides an informative and reassuring look at a long often baffling and infuriating phase of life Booklist The only thing predictable about menopause is its unpredictability Factor in widespread misinformation a lack of research and the culture of shame around womens bodies and its no wonder women are unsure what to expect during the menopause transition and beyond Menopause is not a diseaseits a planned change like puberty And just like puberty we should be educated on whats to come years in advance rather than the current practice of leaving people on their own with bothersome symptoms and too much conflicting information Knowing what is happening why and what to do about it is both empowering and reassuring Frank and funny Dr Jen debunks misogynistic attitudes and challenges the overmystification of menopause to reveal everything you really need to know about Perimenopause Hot flashes Sleep disruption Sex and libido Depression and mood changes Skin and hair issues Outdated therapies Breast health Weight and muscle mass Health maintenance screening And much more Filled with practical reassuring information this essential guide will revolutionize how women experience menopauseincluding how their lives can be even better for it Read this book immediately New York Times bestseller Ayelet Waldman author of A Really Good Day and Love Treasure This is the new it book for women who want to prepare for or understand what menopause is and isnt Dr Jennifer Lincoln|Wed Jan 01 2020 00:00:00 GMT-0500 (Peru Standard Time)|Citadel Press|13.1|Jennifer Gunter|English|4.5|1681|politics
B00D0V44LC|Braiding Sweetgrass: Indigenous Wisdom, Scientific Knowledge and the Teachings of Plants|410|https://m.media-amazon.com/images/I/41E-AgfS-4L.jpg|As a botanist Robin Wall Kimmerer has been trained to ask questions of nature with the tools of science As a member of the Citizen Potawatomi Nation she embraces the notion that plants and animals are our oldest teachers In Braiding Sweetgrass Kimmerer brings these two lenses of knowledge together to take us on a journey that is every bit as mythic as it is scientific as sacred as it is historical as clever as it is wise Elizabeth Gilbert Drawing on her life as an indigenous scientist and as a woman Kimmerer shows how other living beingsasters and goldenrod strawberries and squash salamanders algae and sweetgrassoffer us gifts and lessons even if weve forgotten how to hear their voices In reflections that range from the creation of Turtle Island to the forces that threaten its flourishing today she circles toward a central argument that the awakening of ecological consciousness requires the acknowledgment and celebration of our reciprocal relationship with the rest of the living world For only when we can hear the languages of other beings will we be capable of understanding the generosity of the earth and learn to give our own gifts in return|Wed Jan 01 2020 00:00:00 GMT-0500 (Peru Standard Time)|Milkweed Editions|7.1|Robin Wall Kimmerer|English|4.7|17765|politics
B0CBMTS8L8|The Year That Broke Politics: Collusion and Chaos in the Presidential Election of 1968|361|https://m.media-amazon.com/images/I/41cnk8xkzhL.jpg|The unknown story of the election that set the tone for todays fractured politics A fresh authoritative analysis of a pivotal election yearKirkus Reviews The 1968 presidential race was a contentious battle between vice president Hubert Humphrey Republican Richard Nixon and former Alabama governor George Wallace The United States was reeling from the assassinations of Martin Luther King Jr and Robert F Kennedy and was bitterly divided on the Vietnam War and domestic issues including civil rights and rising crime Drawing on previously unexamined archives and numerous interviews Luke A Nichter upends the conventional understanding of the campaign Nichter chronicles how the evangelist Billy Graham met with Johnson after the presidents attempt to reenter the race was stymied by his own party and offered him a deal Nixon if elected would continue Johnsons Vietnam War policy and also not oppose his Great Society if Johnson would soften his support for Humphrey Johnson agreed Nichter also shows that Johnson was far more active in the campaign than has previously been described that Humphreys resurgence in October had nothing to do with his changing his position on the war that Nixons Southern Strategy has been misunderstood since he hardly even campaigned there and that Wallaces appeal went far beyond the South and anticipated todays Republican populism This eyeopening account of the political calculations and maneuvering that decided this fiercely fought election reshapes our understanding of a key moment in twentiethcentury American history|Wed Jan 01 2020 00:00:00 GMT-0500 (Peru Standard Time)|Yale University Press|6.1|Luke A. Nichter|English|4.7|4|politics
B0BHTL7ZYN|Blowback: A Warning to Save Democracy from the Next Trump|343|https://m.media-amazon.com/images/I/416MEFX9RBL.jpg|INSTANT NEW YORK TIMES BESTSELLER The author behind the eyepopping CNN 1 New York Times bestseller A Warning presents an urgent look at how our deeply divided nation is setting the stage for The Next Trump Donald Trump will be president again whether he is on the ballot or not That is because Trumpism is overtaking the Republican Party and will mount a vigorous comeback potentially in the hands of a savvier successorThe Next Trump This prophecy will come true according to Miles Taylor if we do not learn the lessons of the recent past With the 2024 election approaching the formerly Anonymous official is back with bombshell revelations and a sobering national forecast Through interviews with dozens of exTrump aides and government leaders Taylor predicts what could happen inside Trump 20 the White House of a more competent and more formidable copycat What sounds like a political thrillerfrom shadowy presidential powers and CIA betrayals to angry henchmen and assassination plotsis instead Americas political reality as Taylor uses untold stories to shed light on the exPresidents unfulfilled plans the dark forces haunting our civic lives and how we can thwart the rise of extremism in the United States Blowback is also a surprisingly emotional and selfcritical portrait of a dissenter whose own unmasking provides a vivid warning about what happens when we hide the truth from others and most importantly ourselves|Wed Jan 01 2020 00:00:00 GMT-0500 (Peru Standard Time)|Atria Books|13.1|Miles Taylor|English|4.6|410|politics
B01HNJIJB2|The Daily Stoic: 366 Meditations on Wisdom, Perseverance, and the Art of Living|415|https://m.media-amazon.com/images/I/41oJYgjoQKL.jpg|From the team that brought you The Obstacle Is the Way and Ego Is the Enemy a daily devotional of Stoic meditationsan instant Wall Street Journal and USA Today Bestseller Why have historys greatest mindsfrom George Washington to Frederick the Great to Ralph Waldo Emerson along with todays top performers from Super Bowlwinning football coaches to CEOs and celebritiesembraced the wisdom of the ancient Stoics Because they realize that the most valuable wisdom is timeless and that philosophy is for living a better life not a classroom exercise The Daily Stoic offers 366 days of Stoic insights and exercises featuring allnew translations from the Emperor Marcus Aurelius the playwright Seneca or slaveturnedphilosopher Epictetus as well as lesserknown luminaries like Zeno Cleanthes and Musonius Rufus Every day of the year youll find one of their pithy powerful quotations as well as historical anecdotes provocative commentary and a helpful glossary of Greek terms By following these teachings over the course of a year and indeed for years to come youll find the serenity selfknowledge and resilience you need to live well|Wed Jan 01 2020 00:00:00 GMT-0500 (Peru Standard Time)|Portfolio|14.1|Ryan Holiday|English|4.8|29590|politics
