isbn|title|pages|cover|synopsis|publishDate|publisher|price|author|language|rating|totalReviews|categorySlug
B073QR86XF|The Art of War (AmazonClassics Edition)|31|https://m.media-amazon.com/images/I/41UmGUKpWeL.jpg|Long considered the most essential treatise on military strategy and tactics The Art of War comprises thirteen chapters each dedicated to a different aspect of warfare Reaching far beyond the battlefield it is a manifesto for success in every kind of conflict or competition having had a notable influence on various subjects such as law sports and interpersonal relationships In this definitive 1910 Lionel Giles translation the celebrated sinologists interpretive notes and valuable commentary make clear the nuances of Sun Tzus language Most critical Giles provides the context and culture from which the generals theories emerged Revised edition Previously published as The Art of War this edition of The Art of War AmazonClassics Edition includes editorial revisions|Wed Jan 01 2020 00:00:00 GMT-0500 (Peru Standard Time)|AmazonClassics|11.1|Sun Tzu|English|4.3|3632|politics
B01FPGY5T0|12 Rules for Life: An Antidote to Chaos|416|https://m.media-amazon.com/images/I/41zGXwxH-ZL.jpg|1 NATIONAL BESTSELLER 1 INTERNATIONAL BESTSELLER What does everyone in the modern world need to know Renowned psychologist Jordan B Petersons answer to this most difficult of questions uniquely combines the hardwon truths of ancient tradition with the stunning revelations of cuttingedge scientific research Humorous surprising and informative Dr Peterson tells us why skateboarding boys and girls must be left alone what terrible fate awaits those who criticize too easily and why you should always pet a cat when you meet one on the street What does the nervous system of the lowly lobster have to tell us about standing up straight with our shoulders back and about success in life Why did ancient Egyptians worship the capacity to pay careful attention as the highest of gods What dreadful paths do people tread when they become resentful arrogant and vengeful Dr Peterson journeys broadly discussing discipline freedom adventure and responsibility distilling the worlds wisdom into 12 practical and profound rules for life 12 Rules for Life shatters the modern commonplaces of science faith and human nature while transforming and ennobling the mind and spirit of its readers|Wed Jan 01 2020 00:00:00 GMT-0500 (Peru Standard Time)|Random House Canada|7.1|Jordan B. Peterson|English|4.7|58325|politics
B0BNLSMBGP|Nobody Needs to Know: A Memoir|216|https://m.media-amazon.com/images/I/41oauiSSkkL.jpg|From intersex activist Pidgeon Pagonis comes a candid and lifeaffirming true story of identity lies family secrets and the healing power of truth Pidgeon Pagonis always felt like their life was a constant attempt to fit in with other girlsa feeling that was only exacerbated when puberty failed to hit They never understood whyuntil they uncovered the secret that had haunted their childhood Bouncing between their Chicago home and the citys childrens hospital Pidgeon weathered a series of traumatic surgeries fabrications and misdirections It wasnt until college that Pidgeon pieced together the puzzle of their identity theyd been born intersex but raised as a girl their life shaped by lies that left them physically and mentally scarred But for Pidgeon what began as a shameful and traumatic discovery transforms into a painful yet joyous journey of selflove truth and healing Pidgeons inspiring memoir is for everyone whose body and spirit defy expectations a fierce challenge to a system hellbent on enforcing binary definitions Ultimately its a celebration of the freedom and empowerment that come from learning the truth about who you areand living it|Wed Jan 01 2020 00:00:00 GMT-0500 (Peru Standard Time)|TOPPLE Books Little A|13.1|Pidgeon Pagonis|English|4.4|10|politics
B0C7JMHD1T|Girls Found (Rainey Paxton Series Book 4)|515|https://m.media-amazon.com/images/I/51kRaBYEnTL.jpg|Not all killers get away with murder Rainey Paxton never gave up on finding her friend Winnie after she was abducted by a serial killer But the person Rainey knew wasnt the one she found The woman Rainey loves has changed and this new version is disturbing Dakota Jagger finds that being free doesnt mean she has freedom She longs for love and acceptance pulling Winnie along with her to the life they dreamed of while in captivity But Henry Thomas Bishop the barbaric serial killer they escaped is still out there He is stalking the two women waiting to collect his property Tensions heighten for Dakota and Winnie when they learn from the police that Henry is feeding off other unsuspecting prey Then one night Henry makes a tragic mistake so devastating that Raineys rage fuels her desire for revenge Rainey knows the stakes are high and the consequences could be fatal She seeks redemption but the price Rainey paysand the losses she endures to even the scoreare unimaginable WARNING 18 Readers Only Graphic content and subject matter Girls Found eBook categories Horror Novels Psychological Thriller Psychological Horror Suspenseful Novels Realistic Fiction Thriller Dark Disturbing Crime Fiction Murder Family Drama Novels Vigilante Justice Suspense Horror Serial Killer Street Gangs|Wed Jan 01 2020 00:00:00 GMT-0500 (Peru Standard Time)|Fiction With Meaning LLC|8.9|Paige Dearth|English|4.8|235|politics
B0BP2MCCS7|Kabul: The Untold Story of Biden's Fiasco and the American Warriors Who Fought to the End|310|https://m.media-amazon.com/images/I/41OEBfsc2dL.jpg|This hardhitting book is the definitive account of the Biden administrations most disgraceful hourand the chaos it unleashed in the world Americas chaotic retreat from Afghanistan in 2021 was nothing short of a horror show Women and children were trampled to death outside the gates of the Kabul airfield Desperate Afghans fell from the landing gear of departing planes Taliban fighters mercilessly whipped and humiliated US civilians trying to access the few square miles still controlled by American forces Countless Afghan interpreters were abandoned to the mercy of the Taliban after risking their lives alongside American troops for years And thirteen US service memberseleven of whom were still in preschool on 911were murdered in an ISIS suicide bombing that could easily have been prevented Still the full story is worse than anyone imagined Drawing from hundreds of hours of firstperson interviews investigative reporter Jerry Dunleavy and former Army Captain and Afghanistan veteran James Hasson provide an exclusive noholdsbarred account of the disastrous events of August 2021 Kabul is packed with shocking and infuriating exclusive details about fatal politics and bureaucracy that contributed to the catastrophe The authors also tell for the first time inspiring stories of the bravery and sacrifices exhibited by countless Americans on the ground Kabuls original reporting includes eyewitness accounts from servicemembers of all ranks who participated the rescue effort inside information from senior intelligence officials interviews with highranking members of allied governments harrowing stories from Americans and Afghan allies willfully abandoned by craven officials in Washington and exclusive details about veteranled rescue missions that continue to this day Chapter after chapter Kabul depicts American government at its worst and ordinary Americans at their best Ultimately this book explains how Bidens Afghanistan retreat spurred a dangerous new era that persist for decades While Americans watched the fall of Afghanistan with disbelief our nations enemies were also paying close attention|Wed Jan 01 2020 00:00:00 GMT-0500 (Peru Standard Time)|Center Street|6.1|Jerry Dunleavy|English|5|11|politics
B078GL796R|All About Love: New Visions (Love Song to the Nation Book 1)|268|https://m.media-amazon.com/images/I/41C2g-DTB1L.jpg|A New York Times bestseller and enduring classic All About Love is the acclaimed first volume in feminist icon bell hooks Love Song to the Nation trilogy All About Love reveals what causes a polarized society and how to heal the divisions that cause suffering Here is the truth about love and inspiration to help us instill caring compassion and strength in our homes schools and workplaces The word love is most often defined as a noun yet we would all love better if we used it as a verb writes bell hooks as she comes out fighting and on fire in All About Love Here at her most provocative and intensely personal renowned scholar cultural critic and feminist bell hooks offers a proactive new ethic for a society bereft with lovelessnessnot the lack of romance but the lack of care compassion and unity People are divided she declares by societys failure to provide a model for learning to love As bell hooks uses her incisive mind to explore the question What is love her answers strike at both the mind and heart Razing the cultural paradigm that the ideal love is infused with sex and desire she provides a new path to love that is sacred redemptive and healing for individuals and for a nation The Utne Reader declared bell hooks one of the 100 Visionaries Who Can Change Your Life All About Love is a powerful timely affirmation of just how profoundly her revelations can change hearts and minds for the better|Wed Jan 01 2020 00:00:00 GMT-0500 (Peru Standard Time)|William Morrow Paperbacks|15.1|bell hooks|English|4.7|10970|politics
B08BZWXK9J|Come As You Are: Revised and Updated: The Surprising New Science That Will Transform Your Sex Life|390|https://m.media-amazon.com/images/I/41j1akggJvL.jpg|A revised and updated edition of Emily Nagoskis gamechanging New York Times bestseller Come As You Are featuring new information and research on mindfulness desire and pleasure that will radically transform your sex life For much of the 20th and 21st centuries womens sexuality was an uncharted territory in science studied far less frequentlyand far less seriouslythan its male counterpart That is until Emily Nagoskis Come As You Are which used groundbreaking science and research to prove that the most important factor in creating and sustaining a sex life filled with confidence and joy is not what the parts are or how theyre organized but how you feel about them In the years since the books initial publication countless women have learned through Nagoskis accessible and informative guide that things like stress mood trust and body image are not peripheral factors in a womans sexual wellbeing they are central to itand that even if you dont always feel like it you are already sexually whole by just being yourself This revised and updated edition continues that mission with new information and advanced research demystifying and decoding the science of sex so that everyone can create a better sex life and discover more pleasure than you ever thought possible|Wed Jan 01 2020 00:00:00 GMT-0500 (Peru Standard Time)|Simon Schuster Revised Updated edition|10.9|Emily Nagoski Ph.D.|English|4.7|4679|politics
B0BGJRCHM2|Courage under Fire: Under Siege and Outnumbered 58 to 1 on January 6|451|https://m.media-amazon.com/images/I/51L4qKzRemL.jpg|One of the darkest days in American history became an extraordinary story of courage under fire Courage under Fire is United States Capitol Police Chief Steven A Sunds gripping personal account that takes readers inside the events leading up to January 6 and provides a detailed and harrowing minutebyminute account of the attack on the US Capitol which was valiantly defended in handtohand combat by the US Capitol Police officers who found themselves outnumbered fiftyeight to one Courage under Fire draws upon audio recordings key documents and government records as it traces Sunds extraordinary journey from his command post on January 6 to his explosive behindcloseddoors testimony before the January 6 committee Steven A Sund one of only ten men in history to hold the title of Chief of the US Capitol Police has coordinated dozens of National Special Security Events responded to numerous critical incidents and active shooter events and has protected every living US president But nothing could have prepared him for the violent attack on the US Capitol on January 6 2021 Three days before the attack Chief Sund requested the assistance of the National Guard This request was denied In preparation for the Joint Session of Congress Chief Sund directed every available sworn officer to be on duty to protect the Capitol and all of its members and staff But it wasnt enough The savage attack that followed was a wellplanned and carefully coordinated armed assault on the United States Capitol involving thousands The shock and horror of this attack exploded on TV screens worldwide as US Capitol Police officers under Chief Sunds command found themselves facing a violent siege hit with pipes fire extinguishers boards and flag poles Dedicated men and women were knocked unconscious and sprayed with mace and bear spray as live pipe bombs were discovered at the national headquarters of both major political parties Finally multiple police lines were breached Then the building was breached The National Guard didnt arrive until it was much too late In the end 150 officers were seriously injured and nine Americans were dead Now for the first time Chief Steven Sund has written the definitive inside story of the perfect storm of events that led up to the attack on the US Capitol on January 6 a day that rocked the nation and threatened our democracy As the Capitol descended into chaos insurrectionists infiltrated and stormed its hallowed halls and democracy was pushed to the brink Few people realize just how close we came to seeing the Vice President the Speaker of the House and countless members of Congress beaten maimed or killed There have been many false reports and outright lies concerning the conduct of the US Capitol Police on January 6 and there has been no accountability for the individuals who bear most of the responsibility for the failures that left the USCP unprepared that dayfrom the shocking failures in intelligence to the outright stonewalling Chief Sund received from the Pentagon when he repeatedly called for the National Guards help even as the attack on the Capitol was raging Two years later so many questions still remain unanswered What did the intelligence community know about the plans of the insurrectionists before the attack Why was the request for the National Guard continually denied and delayed Why was the nations capital so vulnerable Forced to take the fall and resign this is Chief Sunds chance to answer those questions and to tell the full truth about what really happened on January 6|Wed Jan 01 2020 00:00:00 GMT-0500 (Peru Standard Time)|Blackstone Publishing|6.1|Steven A. Sund|English|4.5|223|politics
B0C7RJMJ8S|The Democrat Party Hates America|250|https://m.media-amazon.com/images/I/41skfq-+W+L.jpg|The seventime 1 New York Times bestselling author radio host and Fox News star returns to the page to reveal the radically dangerous Democrat agenda that is upending American life In American Marxism Mark Levin explained how Marxist ideology has invaded our society and culture In doing so he exposed the institutions scholars and activists leading the revolution Now he picks up where he left off to hold responsible the true malefactors steering our country down the wrong path Insightful and hardhitting as ever Levin proves that since its establishment the Democrat Party has set out to rewrite history and destroy the foundation of freedom in America More than a political party it is the entity through which Marxism has installed its philosophy and its new revolution As in a Thomas Paine pamphlet or a clarion call from Paul Revere Levin alerts his fellow Americans to the destruction this country is facing and rallies them to defeat the threat in front of usmore looming than ever He writes Every legal legitimate and appropriate tool and method must be employed in the short and long run to defeat the Democrat Party The Democrat Party must be resoundingly conquered in the next election and several elections thereafter or it will become extremely difficult to undo the damage it is unleashing at breakneck pace|Wed Jan 01 2020 00:00:00 GMT-0500 (Peru Standard Time)|Threshold Editions|9.9|Mark R. Levin|English|3|0|politics
B08R2KL3VY|The Dawn of Everything: A New History of Humanity|706|https://m.media-amazon.com/images/I/41YbEfHMonL.jpg|INSTANT NEW YORK TIMES BESTSELLER A dramatically new understanding of human history challenging our most fundamental assumptions about social evolutionfrom the development of agriculture and cities to the origins of the state democracy and inequalityand revealing new possibilities for human emancipation For generations our remote ancestors have been cast as primitive and childlikeeither free and equal innocents or thuggish and warlike Civilization we are told could be achieved only by sacrificing those original freedoms or alternatively by taming our baser instincts David Graeber and David Wengrow show how such theories first emerged in the eighteenth century as a conservative reaction to powerful critiques of European society posed by Indigenous observers and intellectuals Revisiting this encounter has startling implications for how we make sense of human history today including the origins of farming property cities democracy slavery and civilization itself Drawing on pathbreaking research in archaeology and anthropology the authors show how history becomes a far more interesting place once we learn to throw off our conceptual shackles and perceive whats really there If humans did not spend 95 percent of their evolutionary past in tiny bands of huntergatherers what were they doing all that time If agriculture and cities did not mean a plunge into hierarchy and domination then what kinds of social and economic organization did they lead to The answers are often unexpected and suggest that the course of human history may be less set in stone and more full of playful hopeful possibilities than we tend to assume The Dawn of Everything fundamentally transforms our understanding of the human past and offers a path toward imagining new forms of freedom new ways of organizing society This is a monumental book of formidable intellectual range animated by curiosity moral vision and a faith in the power of direct action Includes BlackandWhite Illustrations|Wed Jan 01 2020 00:00:00 GMT-0500 (Peru Standard Time)|Farrar Straus and Giroux|13.1|David Graeber|English|4.5|5488|politics
